HomeTeam,AwayTeam,Date,home_rest_days,away_rest_days,home_elo,away_elo,elo_diff,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,home_avg_goals_scored_5,home_avg_goals_conceded_5,home_avg_corners_5,home_avg_cards_5,home_avg_points_5,away_avg_goals_scored_5,away_avg_goals_conceded_5,away_avg_corners_5,away_avg_cards_5,away_avg_points_5,home_avg_goals_scored_10,home_avg_goals_conceded_10,home_avg_corners_10,home_avg_cards_10,home_avg_points_10,away_avg_goals_scored_10,away_avg_goals_conceded_10,away_avg_corners_10,away_avg_cards_10,away_avg_points_10,home_venue_avg_goals_5,home_venue_avg_corners_5,home_venue_avg_cards_5,home_venue_avg_points_5,away_venue_avg_goals_5,away_venue_avg_corners_5,away_venue_avg_cards_5,away_venue_avg_points_5,home_venue_avg_goals_10,home_venue_avg_corners_10,home_venue_avg_cards_10,home_venue_avg_points_10,away_venue_avg_goals_10,away_venue_avg_corners_10,away_venue_avg_cards_10,away_venue_avg_points_10,FTR,FTHG,FTAG,HC,AC,home_cards,away_cards
Brentford,Brighton,2021-09-11,14,14,1509.1537822632934,1509.6957206672173,-0.5419384039239503,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,3.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,5.666666666666667,2.0,2.0,1.0,0.3333333333333333,3.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,5.666666666666667,2.0,2.0,2.0,2.0,0.0,3.0,2.0,6.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,6.0,1.0,3.0,A,0,1,1,6,3,2
Leicester,Man City,2021-09-11,14,14,1509.4249887221547,1509.4414857108948,-0.016496988740072993,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,4.666666666666667,1.3333333333333333,2.0,3.3333333333333335,0.3333333333333333,10.333333333333334,1.0,2.0,1.3333333333333333,1.6666666666666667,4.666666666666667,1.3333333333333333,2.0,3.3333333333333335,0.3333333333333333,10.333333333333334,1.0,2.0,1.0,5.0,1.0,3.0,0.0,11.0,1.0,0.0,1.0,5.0,1.0,3.0,0.0,11.0,1.0,0.0,A,0,1,5,8,1,2
Man United,Newcastle,2021-09-11,13,14,1518.596522873633,1480.3042793327827,38.29224354085022,0.0,0.0,0.0,0.0,2.3333333333333335,0.6666666666666666,6.333333333333333,2.6666666666666665,2.3333333333333335,1.3333333333333333,2.6666666666666665,5.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,0.6666666666666666,6.333333333333333,2.6666666666666665,2.3333333333333335,1.3333333333333333,2.6666666666666665,5.0,2.6666666666666665,0.3333333333333333,5.0,5.0,1.0,3.0,0.0,4.0,4.0,0.0,5.0,5.0,1.0,3.0,0.0,4.0,4.0,0.0,H,4,1,7,3,1,0
Southampton,West Ham,2021-09-11,14,14,1490.2707319450626,1519.1550998577957,-28.88436791273307,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,6.333333333333333,1.6666666666666667,0.6666666666666666,3.3333333333333335,1.6666666666666667,7.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,6.333333333333333,1.6666666666666667,0.6666666666666666,3.3333333333333335,1.6666666666666667,7.0,0.3333333333333333,2.3333333333333335,1.0,7.0,2.0,1.0,4.0,6.0,0.0,3.0,1.0,7.0,2.0,1.0,4.0,6.0,0.0,3.0,D,0,0,5,4,3,2
Watford,Wolves,2021-09-11,13,13,1490.5585142891052,1471.403477126367,19.155037162738154,0.0,0.0,0.0,0.0,1.0,1.6666666666666667,2.3333333333333335,2.0,1.0,0.0,1.0,4.666666666666667,2.0,0.0,1.0,1.6666666666666667,2.3333333333333335,2.0,1.0,0.0,1.0,4.666666666666667,2.0,0.0,3.0,2.0,3.0,3.0,0.0,4.0,2.0,0.0,3.0,2.0,3.0,3.0,0.0,4.0,2.0,0.0,A,0,2,6,8,3,3
Chelsea,Aston Villa,2021-09-11,14,14,1519.4249887221547,1500.2712064588613,19.15378226329335,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,5.333333333333333,1.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,3.3333333333333335,2.3333333333333335,1.3333333333333333,2.0,0.3333333333333333,5.333333333333333,1.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,3.3333333333333335,2.3333333333333335,1.3333333333333333,3.0,5.0,0.0,3.0,2.0,4.0,1.0,0.0,3.0,5.0,0.0,3.0,2.0,4.0,1.0,0.0,H,3,0,4,11,1,4
Leeds,Liverpool,2021-09-12,14,15,1490.2872675945252,1519.4249887221547,-29.137721127629447,0.0,0.0,0.0,0.0,1.3333333333333333,2.6666666666666665,5.666666666666667,2.3333333333333335,0.6666666666666666,2.0,0.3333333333333333,10.333333333333334,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.6666666666666665,5.666666666666667,2.3333333333333335,0.6666666666666666,2.0,0.3333333333333333,10.333333333333334,0.3333333333333333,2.3333333333333335,2.0,8.0,2.0,1.0,3.0,11.0,1.0,3.0,2.0,8.0,2.0,1.0,3.0,11.0,1.0,3.0,A,0,3,2,11,3,1
Everton,Burnley,2021-09-13,16,15,1519.7292680549374,1480.8627549611654,38.86651309377203,0.0,0.0,0.0,0.0,2.3333333333333335,1.0,5.333333333333333,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.6666666666666667,5.333333333333333,2.0,0.3333333333333333,2.3333333333333335,1.0,5.333333333333333,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.6666666666666667,5.333333333333333,2.0,0.3333333333333333,3.0,6.0,2.0,3.0,0.0,4.0,0.0,0.0,3.0,6.0,2.0,3.0,0.0,4.0,0.0,0.0,H,3,1,4,6,1,1
Newcastle,Leeds,2021-09-17,6,5,1471.4019776708687,1481.1239579623175,-9.721980291448745,0.0,0.0,0.0,0.0,1.25,3.0,4.5,2.0,0.25,1.0,2.75,4.75,2.5,0.5,1.25,3.0,4.5,2.0,0.25,1.0,2.75,4.75,2.5,0.5,2.0,5.5,2.0,0.5,1.0,4.5,2.5,0.5,2.0,5.5,2.0,0.5,1.0,4.5,2.5,0.5,D,1,1,4,5,2,2
Wolves,Brentford,2021-09-18,7,7,1481.9542454875052,1499.1693804917704,-17.21513500426522,0.0,0.0,0.0,0.0,0.5,0.75,5.5,2.25,0.75,0.75,0.5,2.5,1.75,1.25,0.5,0.75,5.5,2.25,0.75,0.75,0.5,2.5,1.75,1.25,0.0,5.0,2.0,0.0,0.5,3.5,2.0,1.0,0.0,5.0,2.0,0.0,0.5,3.5,2.0,1.0,A,0,2,4,2,4,3
Burnley,Arsenal,2021-09-18,5,7,1471.9767799660588,1481.1174502473436,-9.140670281284883,0.0,0.0,0.0,0.0,0.75,2.0,5.5,1.75,0.25,0.25,2.25,5.5,1.75,0.75,0.75,2.0,5.5,1.75,0.25,0.25,2.25,5.5,1.75,0.75,1.0,6.0,3.0,0.5,0.0,2.5,1.5,0.0,1.0,6.0,3.0,0.5,0.0,2.5,1.5,0.0,A,0,1,8,3,2,1
Liverpool,Crystal Palace,2021-09-18,6,7,1528.5882983543625,1502.4935560271222,26.094742327240283,0.0,0.0,0.0,0.0,2.25,0.25,10.5,0.5,2.5,1.25,1.25,4.0,1.25,1.25,2.25,0.25,10.5,0.5,2.5,1.25,1.25,4.0,1.25,1.25,1.5,10.0,0.0,2.0,1.0,2.5,0.0,0.5,1.5,10.0,0.0,2.0,1.0,2.5,0.0,0.5,H,3,0,10,5,3,1
Man City,Southampton,2021-09-18,7,7,1519.4410108893908,1491.100180828965,28.340830060425787,0.0,0.0,0.0,0.0,2.75,0.25,9.75,1.25,2.25,1.0,1.5,6.0,2.0,0.75,2.75,0.25,9.75,1.25,2.25,1.0,1.5,6.0,2.0,0.75,5.0,10.0,1.0,3.0,1.5,6.0,1.5,0.5,5.0,10.0,1.0,3.0,1.5,6.0,1.5,0.5,D,0,0,8,5,0,2
Norwich,Watford,2021-09-18,7,7,1460.5910865974522,1480.007745927967,-19.416659330514904,0.0,0.0,0.0,0.0,0.25,2.75,4.25,1.25,0.0,0.75,1.75,3.25,2.25,0.75,0.25,2.75,4.25,1.25,0.0,0.75,1.75,3.25,2.25,0.75,0.5,6.0,1.5,0.0,0.0,2.5,1.5,0.0,0.5,6.0,1.5,0.0,0.0,2.5,1.5,0.0,A,1,3,4,8,1,1
Aston Villa,Everton,2021-09-18,7,5,1490.8219388106481,1528.615243050044,-37.793304239395866,0.0,0.0,0.0,0.0,1.25,1.75,5.25,2.75,1.0,2.5,1.0,5.0,2.25,2.5,1.25,1.75,5.25,2.75,1.0,2.5,1.0,5.0,2.25,2.5,1.5,3.0,3.0,2.0,2.0,5.0,3.0,2.0,1.5,3.0,3.0,2.0,2.0,5.0,3.0,2.0,H,3,0,5,4,1,1
Brighton,Leicester,2021-09-19,8,8,1519.6801224387402,1499.4254635436587,20.254658895081548,0.0,0.0,0.0,0.0,1.25,0.75,5.75,2.0,2.25,1.0,1.5,4.75,1.25,1.5,1.25,0.75,5.75,2.0,2.25,1.0,1.5,4.75,1.25,1.5,1.0,5.5,2.5,1.5,1.5,4.5,1.5,1.5,1.0,5.5,2.5,1.5,1.5,4.5,1.5,1.5,H,2,1,4,9,2,1
West Ham,Man United,2021-09-19,8,8,1518.3256509738933,1527.4988245355469,-9.173173561653584,0.0,0.0,0.0,0.0,2.5,1.25,6.25,0.75,2.0,2.75,0.75,6.5,2.25,2.5,2.5,1.25,6.25,0.75,2.0,2.75,0.75,6.5,2.25,2.5,3.0,7.5,0.5,2.0,1.0,7.0,3.5,2.0,3.0,7.5,0.5,2.0,1.0,7.0,3.5,2.0,A,1,2,2,11,0,0
Tottenham,Chelsea,2021-09-19,8,8,1517.792829825977,1528.874256370368,-11.081426544390979,0.0,0.0,0.0,0.0,0.75,0.75,4.75,2.75,2.25,2.25,0.25,5.0,1.0,2.5,0.75,0.75,4.75,2.75,2.25,2.25,0.25,5.0,1.0,2.5,1.0,6.5,2.5,3.0,1.5,5.5,1.5,2.0,1.0,6.5,2.5,3.0,1.5,5.5,1.5,2.0,A,0,3,5,11,0,1
Brentford,Liverpool,2021-09-25,7,7,1508.6742941750517,1537.8386403771324,-29.16434620208065,0.0,0.0,0.0,0.0,1.0,0.4,2.4,2.0,1.6,2.4,0.2,10.4,1.0,2.6,1.0,0.4,2.4,2.0,1.6,2.4,0.2,10.4,1.0,2.6,1.0,1.5,1.5,1.5,3.0,11.0,1.0,3.0,1.0,1.5,1.5,1.5,3.0,11.0,1.0,3.0,D,3,3,2,11,1,1
